index,address,valid_stamps_count,stamp_providers,issuance_date
189,0xe1bebddc385206d0de5dd8786cfc57639cf2dca9,4,"[""Google"",""Github"",""Discord"",""ZkSync""]",
190,0x81b0ed48fc524c8ef4ca28830d1cbba26e72f218,0,,
191,0x0e9a42c397b1a36fe7126f8e1e9c77396faa026b,0,,
192,0x1315dac8a414e0d7dff3212e128e580eb11b93a9,3,"[""ZkSync"",""Google"",""Discord""]",
193,0x465c63680f2a0b4277d9b4cecc3f3310e531a77f,0,,
194,0x3fe0e3ac297babf9dfd06df269183086bd804866,0,,
195,0x7bebed59df3e04a4fbea0e59c7c8979be4d45257,15,"[""Twitter"",""TwitterTweetGT10"",""Github"",""Ens"",""POAP"",""Linkedin"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""SnapshotVotesProvider"",""Lens"",""Google"",""Facebook"",""Discord"",""NFT"",""Brightid""]",
196,0xd65ef3aaefc0a3edaa1bc8cdc950e81d8456a056,0,,
197,0x5fe9c1dc216eb6f92e2a6f6c8f8138013ebc5755,0,,
198,0x5e8ec8fb87d659cad7a08c82180ca1d1c892d6a6,0,,
199,0x33cb1de40587f1d702136f4979630e81442124f5,0,,
200,0xaa89c84ad9673b2fe581a8dd3e549d72a287da18,11,"[""ZkSync"",""Twitter"",""TwitterTweetGT10"",""TwitterFollowerGT100"",""Discord"",""NFT"",""SnapshotVotesProvider"",""Google"",""Ens"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider""]",
201,0x3b0ff68bf102da700dd8392414ded8654e14e25f,0,,
202,0xbf97c2f9f756ad8823d8000ea76e3096d2f9f8d9,,,
203,0x1f409e5b72893ce1ef523b542b990b6d572b8109,0,,
204,0xadaa78db09f0f38ca68ff357ba5968c96b2d6d8f,11,"[""ZkSync"",""SnapshotVotesProvider"",""POAP"",""Github"",""Twitter"",""TwitterTweetGT10"",""GitcoinContributorStatistics#numGrantsContributeToGte#1"",""GitcoinContributorStatistics#totalContributionAmountGte#10"",""GitcoinContributorStatistics#numGr14ContributionsGte#1"",""GitcoinContributorStatistics#numRoundsContributedToGte#1"",""Discord""]",
205,0x44f4b99e5eaa1f575fb7f2066d9175a2790ad88a,10,"[""Ens"",""Brightid"",""POAP"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""SnapshotVotesProvider"",""ZkSync"",""Lens"",""GnosisSafe"",""NFT""]",
206,0xa6ff335e81b7972ec98a24a234d1bb74875c900f,0,,
207,0xb043ae28a52643a284fb5a6f4aa02ede4069a4d9,0,,
208,0x64463d05904e09cde530894b33590f5708dc2811,0,,
209,0x15fc14777d0482bdc8e7148262b3b9d794945a61,0,,
210,0xf392f3c66791269c7e6a34ca17ac697b62354b03,0,,
211,0x8993cc745ad8274558527ce80d2676cef23343b5,0,,
212,0xb9ed52d10ee3e2918cb7aa525449c732fa5108f6,0,,
213,0xe73f869db981a87f890af869e4eeafb2082dc913,8,"[""Github"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""Twitter"",""TwitterTweetGT10"",""Discord"",""Facebook"",""NFT""]",
214,0x69489d3692c6139d390b45dfedcc9497504c5737,7,"[""Twitter"",""TwitterTweetGT10"",""Google"",""Github"",""Discord"",""SnapshotVotesProvider"",""ZkSync""]",
215,0x71053aea05d07eae0371590933ee9e1f0fd23783,7,"[""Google"",""GitcoinContributorStatistics#numGrantsContributeToGte#1"",""ZkSync"",""NFT"",""SnapshotVotesProvider"",""Discord"",""Github""]",
216,0x91994426897af536bf7d7fcee95afb835cfea515,0,,
217,0x7e7bfe3e816e26f78fe8f1d4986f81ffe6027d72,0,,
218,0xab68bad1db2655b7f0d18c3ce80e06bb1ee4f83c,0,,
219,0x3977318f07f3c7136395397d97b710d0241a2a2e,0,,
220,0x97d197aae82f228822ff4a3cda9de3fa4ebbcb49,18,"[""Twitter"",""TwitterTweetGT10"",""TwitterFollowerGT100"",""Discord"",""Lens"",""ZkSync"",""NFT"",""Ens"",""GitcoinContributorStatistics#numGrantsContributeToGte#1"",""GitcoinContributorStatistics#numGrantsContributeToGte#10"",""GitcoinContributorStatistics#totalContributionAmountGte#10"",""GitcoinContributorStatistics#numGr14ContributionsGte#1"",""GitcoinContributorStatistics#numRoundsContributedToGte#1"",""Google"",""SnapshotVotesProvider"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""Github""]",
221,0x3ca68bcbb442606e372084d95cf6ebf787d33ca1,0,,
222,0x0690adc3dea3dd819064c60f9eecc22e60991f2c,0,,
223,0xa3850b47183e78195d19e082cc07eda3370e575f,18,"[""Google"",""Github"",""Lens"",""Discord"",""Twitter"",""TwitterTweetGT10"",""Facebook"",""FacebookProfilePicture"",""Linkedin"",""Ens"",""SnapshotVotesProvider"",""GitcoinContributorStatistics#numGrantsContributeToGte#1"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""POAP"",""NFT"",""ZkSync"",""Brightid""]",
